Bevölkerung nach Geschlecht und nach Größe des bewohnten Privathaushaltes seit 2012 - Zählbezirke Wien | Population by sex and size of inhabited private household since 2012 - subdistricts of Vienna
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_DATE;REF_YEAR;SEX;1_PH;2_PH;3-5_PH;6p_PH;ANST
AT13;91600;91609;20121031;2012;1;450;808;1091;51;29
AT13;91600;91609;20121031;2012;2;702;872;1058;59;56
AT13;91600;91610;20121031;2012;1;1207;1346;2427;332;11
AT13;91600;91610;20121031;2012;2;1151;1326;2148;322;9
AT13;91700;91701;20121031;2012;1;1181;1444;2113;246;19
AT13;91700;91701;20121031;2012;2;1443;1556;2040;239;14
AT13;91700;91702;20121031;2012;1;1525;1873;2891;401;131
AT13;91700;91702;20121031;2012;2;1788;1963;2805;422;58
AT13;91700;91703;20121031;2012;1;1846;2277;3502;449;363
AT13;91700;91703;20121031;2012;2;2249;2489;3470;451;23
AT13;91700;91704;20121031;2012;1;241;532;721;75;50
AT13;91700;91704;20121031;2012;2;427;622;742;92;187
AT13;91700;91705;20121031;2012;1;491;800;1355;152;4
AT13;91700;91705;20121031;2012;2;704;872;1435;149;0
AT13;91700;91706;20121031;2012;1;208;298;573;40;1
AT13;91700;91706;20121031;2012;2;283;324;557;38;53
AT13;91800;91801;20121031;2012;1;165;255;376;48;1
AT13;91800;91801;20121031;2012;2;300;313;434;55;27
AT13;91800;91802;20121031;2012;1;1382;1807;2756;196;77
AT13;91800;91802;20121031;2012;2;2004;2077;2772;222;317
AT13;91800;91803;20121031;2012;1;1741;1997;2836;321;96
AT13;91800;91803;20121031;2012;2;2239;2191;2838;321;135
AT13;91800;91804;20121031;2012;1;1064;1195;1809;117;11
AT13;91800;91804;20121031;2012;2;1430;1397;1917;106;8
AT13;91800;91805;20121031;2012;1;606;1057;1998;192;106
AT13;91800;91805;20121031;2012;2;1046;1193;2154;216;390
AT13;91900;91901;20121031;2012;1;521;786;1193;121;12
AT13;91900;91901;20121031;2012;2;766;906;1228;127;69
AT13;91900;91902;20121031;2012;1;1000;1474;1612;221;59
AT13;91900;91902;20121031;2012;2;1424;1640;1641;217;244
AT13;91900;91903;20121031;2012;1;62;34;33;0;0
AT13;91900;91903;20121031;2012;2;67;28;31;0;0
AT13;91900;91904;20121031;2012;1;1507;1766;2441;277;181
AT13;91900;91904;20121031;2012;2;2079;2056;2618;256;228
AT13;91900;91905;20121031;2012;1;684;878;1377;184;39
AT13;91900;91905;20121031;2012;2;979;1052;1471;182;152
AT13;91900;91906;20121031;2012;1;399;601;1133;166;31
AT13;91900;91906;20121031;2012;2;584;683;1088;156;30
AT13;91900;91907;20121031;2012;1;221;375;594;74;5
AT13;91900;91907;20121031;2012;2;352;433;668;80;5
AT13;91900;91908;20121031;2012;1;1323;1697;2365;218;75
AT13;91900;91908;20121031;2012;2;2060;1965;2434;236;174
AT13;91900;91909;20121031;2012;1;330;432;851;102;292
AT13;91900;91909;20121031;2012;2;516;492;843;117;181
AT13;91900;91910;20121031;2012;1;593;1168;1855;184;79
AT13;91900;91910;20121031;2012;2;1000;1332;1935;208;228
AT13;92000;92001;20121031;2012;1;796;962;1908;230;10
AT13;92000;92001;20121031;2012;2;1018;1086;1895;243;6
AT13;92000;92002;20121031;2012;1;1794;1914;3292;493;99
AT13;92000;92002;20121031;2012;2;1844;1986;3090;464;65
AT13;92000;92003;20121031;2012;1;1360;1755;2827;472;144
AT13;92000;92003;20121031;2012;2;1531;1853;2749;449;304
AT13;92000;92004;20121031;2012;1;732;1028;1925;251;564
AT13;92000;92004;20121031;2012;2;1008;1148;1893;259;563
AT13;92000;92005;20121031;2012;1;1182;1512;2363;550;25
AT13;92000;92005;20121031;2012;2;1305;1574;2209;431;13
AT13;92000;92006;20121031;2012;1;824;1229;1675;273;38
AT13;92000;92006;20121031;2012;2;1111;1323;1571;316;30
AT13;92000;92007;20121031;2012;1;1215;1778;2689;456;49
AT13;92000;92007;20121031;2012;2;1594;1916;2667;446;116
AT13;92000;92008;20121031;2012;1;589;840;1085;151;5
AT13;92000;92008;20121031;2012;2;728;874;1036;136;0
AT13;92100;92101;20121031;2012;1;74;165;349;47;0
AT13;92100;92101;20121031;2012;2;93;185;372;43;0
AT13;92100;92102;20121031;2012;1;538;845;1826;184;2
AT13;92100;92102;20121031;2012;2;587;977;1836;180;0
AT13;92100;92103;20121031;2012;1;269;756;1423;129;4
AT13;92100;92103;20121031;2012;2;323;876;1460;117;5
AT13;92100;92104;20121031;2012;1;249;634;864;157;4
AT13;92100;92104;20121031;2012;2;325;674;920;166;2
AT13;92100;92105;20121031;2012;1;976;2406;4035;1047;107
AT13;92100;92105;20121031;2012;2;1625;2694;4068;1088;297
AT13;92100;92106;20121031;2012;1;62;127;200;20;0
